area_type,availability,location,size,society,total_sqft,bath,balcony,price,adjusted_price
Plot  Area,Ready To Move,Worli,8 Bedroom,,600,9.0,,14500.0,14500.0
Super built-up  Area,Ready To Move,Goregaon,2 BHK,LancyRe,970,2.0,0.0,19259.25926,19259.25926
Super built-up  Area,20-Sep,Santacruz,2 BHK,Goted U,1459,2.0,1.0,18820.86168,18820.86168
Plot  Area,Ready To Move,Malad,2 Bedroom,,800,1.0,1.0,30364.37247,30364.37247
Built-up  Area,Ready To Move,Colaba,2 BHK,,869,2.0,1.0,8886.792453,11552.830188900001
Super built-up  Area,Ready To Move,Bandra,2 BHK,Bhncyis,1270,2.0,1.0,14022.14022,14022.14022
Super built-up  Area,18-Mar,Malad,3 BHK,Rosha I,1670,3.0,1.0,16000.0,16000.0
Built-up  Area,Ready To Move,Bandra,3 BHK,Suent V,2010,3.0,2.0,15991.23768,15991.23768
Super built-up  Area,Ready To Move,Chembur,2 BHK,RothaVa,1185,2.0,2.0,31431.33462,31431.33462
Super built-up  Area,Ready To Move,Andheri,3 BHK,NCowsar,1600,2.0,3.0,21825.39683,26190.476196
Super built-up  Area,Ready To Move,Malad,2 BHK,Dhalsh ,1200,2.0,2.0,14893.61702,14893.61702
Built-up  Area,20-Feb,Andheri,4 Bedroom,BrereAt,3010 - 3410,,,15454.54545,18545.45454
Super built-up  Area,Ready To Move,Goregaon,2 BHK,PeBayle,1500,2.0,2.0,40000.0,40000.0
Plot  Area,Ready To Move,Ghatkopar,6 Bedroom,,1407,4.0,1.0,27422.30347,27422.30347
Super built-up  Area,Ready To Move,Vile Parle,2 BHK,,840,2.0,2.0,17419.35484,17419.35484
Plot  Area,Ready To Move,Goregaon,3 Bedroom,,4395,3.0,2.0,12955.12278,12955.12278
Super built-up  Area,Ready To Move,Kurla,2 BHK,Laavevi,845,2.0,1.0,41142.85714,41142.85714
Plot  Area,Ready To Move,Worli,4 Bedroom,Chranya,5700,5.0,3.0,37747.15398,37747.15398
Built-up  Area,Ready To Move,Juhu,2 BHK,HioraTr,1160,2.0,2.0,12946.8599,16830.91787
Built-up  Area,Ready To Move,Kurla,8 Bedroom,,3000,8.0,0.0,31267.60563,31267.60563
Super built-up  Area,Ready To Move,Ghatkopar,2 BHK,,1100,2.0,1.0,21758.43694,21758.43694
Super built-up  Area,18-Apr,Goregaon,2 BHK,BMineis,1140,2.0,3.0,16187.05036,16187.05036
Super built-up  Area,Ready To Move,Chembur,2 BHK,,1220,2.0,1.0,18441.8146,18441.8146
Plot  Area,Ready To Move,Mulund,8 Bedroom,,1350,7.0,0.0,25000.0,25000.0
Super built-up  Area,Ready To Move,Khar,2 BHK,,1005,2.0,1.0,15142.85714,15142.85714
Plot  Area,Ready To Move,Borivali,3 Bedroom,,500,3.0,2.0,11037.03704,11037.03704
Super built-up  Area,20-Aug,Worli,2 BHK,Pruthg ,1358,2.0,1.0,8284.789644,8284.789644
Super built-up  Area,Ready To Move,Mulund,3 BHK,Sonosty,1569,3.0,1.0,9099.526066,9099.526066
Super built-up  Area,18-Apr,Kurla,2 BHK,SNnia E,1240,2.0,1.0,29474.81243,29474.81243
Super built-up  Area,Ready To Move,Chembur,3 BHK,Anavi B,2089,3.0,2.0,12897.19626,12897.19626
Super built-up  Area,Ready To Move,Santacruz,2 BHK,,1206,2.0,1.0,14685.31469,14685.31469
Super built-up  Area,Ready To Move,Borivali,2 BHK,,1150,2.0,3.0,9750.0,9750.0
Built-up  Area,Ready To Move,Mulund,3 BHK,Viony H,2511,3.0,3.0,15362.31884,15362.31884
Built-up  Area,Ready To Move,Andheri,2 BHK,,460,1.0,0.0,30000.0,36000.0
Built-up  Area,Ready To Move,Chembur,6 Bedroom,,4400,6.0,3.0,32105.26316,32105.26316
Super built-up  Area,Ready To Move,Mulund,3 BHK,AdentEl,1660,2.0,2.0,10156.25,10156.25
Built-up  Area,18-Oct,Andheri,4 Bedroom,Gollela,2957 - 3450,,,33366.04514,40039.254168
Super built-up  Area,19-Mar,Juhu,2 BHK,Niareum,1326,2.0,2.0,16323.09634,21220.025242
Super built-up  Area,Ready To Move,Vile Parle,3 BHK,,1325,2.0,2.0,21060.27596,21060.27596
Super built-up  Area,Ready To Move,Santacruz,3 BHK,SJlynro,1499,5.0,2.0,16854.67817,16854.67817
Built-up  Area,Ready To Move,Colaba,6 Bedroom,,3000,7.0,2.0,16000.0,20800.0
Super built-up  Area,Ready To Move,Colaba,3 BHK,,1665,3.0,2.0,11583.33333,15058.333329
Super built-up  Area,17-Sep,Worli,2 BHK,Tavenew,708,2.0,2.0,8403.361345,8403.361345
Super built-up  Area,Ready To Move,Andheri,2 BHK,Srire S,1060,2.0,2.0,15454.54545,18545.45454
Plot  Area,Ready To Move,Dadar,6 Bedroom,,710,6.0,3.0,17375.0,20850.0
Built-up  Area,Ready To Move,Kurla,2 BHK,Saenti ,1000,2.0,2.0,14285.71429,14285.71429
Super built-up  Area,18-Dec,Ghatkopar,2 BHK,,1000,2.0,1.0,18947.36842,18947.36842
Super built-up  Area,Ready To Move,Worli,3 BHK,,1450,2.0,2.0,18500.0,18500.0
Plot  Area,Ready To Move,Goregaon,4 Bedroom,,1200,4.0,2.0,27272.72727,27272.72727
Super built-up  Area,17-Aug,Borivali,2 BHK,Bhmesy ,1296,2.0,3.0,42500.0,42500.0
Super built-up  Area,Ready To Move,Andheri,3 BHK,,1540,3.0,2.0,13237.48141,15884.977692
Plot  Area,Ready To Move,Mulund,4 Bedroom,Goardth,2894,4.0,1.0,33333.33333,33333.33333
Super built-up  Area,Ready To Move,Juhu,3 BHK,,1330,2.0,1.0,21753.24675,28279.220774999998
Built-up  Area,Ready To Move,Santacruz,2 BHK,,1200,2.0,1.0,17892.64414,17892.64414
Built-up  Area,Ready To Move,Vile Parle,3 Bedroom,,1200,3.0,1.0,16111.11111,16111.11111
Super built-up  Area,Ready To Move,Bandra,3 BHK,IBityin,2502,3.0,3.0,7721.280603,7721.280603
Built-up  Area,Ready To Move,Dadar,2 BHK,KHityry,650,1.0,1.0,50000.0,60000.0
Plot  Area,Ready To Move,Vile Parle,3 Bedroom,BDensar,2400,2.0,1.0,15083.33333,15083.33333
Super built-up  Area,Ready To Move,Worli,2 BHK,Makeser,1007,2.0,2.0,32438.47875,32438.47875
Super built-up  Area,Ready To Move,Powai,2 BHK,Maest N,1200,2.0,2.0,30290.45643,30290.45643
Super built-up  Area,Ready To Move,Mulund,2 BHK,,966,2.0,2.0,13714.28571,13714.28571
Built-up  Area,Ready To Move,Colaba,3 BHK,,1630,2.0,1.0,7497.57517,9746.847721
Built-up  Area,Ready To Move,Powai,3 BHK,Brway G,1640,3.0,2.0,8388.090349,8388.090349
Built-up  Area,Ready To Move,Malad,2 BHK,,782,2.0,2.0,8193.484699,8193.484699
Super built-up  Area,19-Apr,Andheri,2 BHK,Oznuean,1260,2.0,2.0,27647.05882,33176.470583999995
Super built-up  Area,Ready To Move,Borivali,3 BHK,,1800,3.0,3.0,34615.38462,34615.38462
Super built-up  Area,Ready To Move,Dadar,3 BHK,Reeroce,1413,2.0,2.0,7699.901283,9239.881539599999
Super built-up  Area,Ready To Move,Ghatkopar,2 BHK,Sonviik,1116,2.0,1.0,23103.44828,23103.44828
Super built-up  Area,Ready To Move,Mulund,3 BHK,DSgmax ,1530,2.0,1.0,22189.34911,22189.34911
Built-up  Area,Ready To Move,Andheri,4 Bedroom,,3700,4.0,1.0,8501.026694,10201.2320328
Built-up  Area,Ready To Move,Ghatkopar,3 Bedroom,Cetattu,2497,3.0,2.0,18585.85859,18585.85859
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,Vaens G,1540,2.0,3.0,22500.0,22500.0
Super built-up  Area,18-Dec,Worli,3 BHK,,1436,3.0,1.0,8095.69378,8095.69378
Super built-up  Area,18-Jun,Mulund,2 BHK,,1100,2.0,2.0,16616.54135,16616.54135
Plot  Area,Ready To Move,Goregaon,2 Bedroom,,276,3.0,3.0,11454.54545,11454.54545
Super built-up  Area,Ready To Move,Andheri,3 BHK,Moity S,1427,3.0,2.0,6098.360656,7318.0327872
Super built-up  Area,Ready To Move,Dadar,3 BHK,HiahsLa,2061,3.0,1.0,19421.4876,23305.78512
Super built-up  Area,18-Mar,Goregaon,4 BHK,SNontle,3067 - 8156,4.0,0.0,33298.64724,33298.64724
Built-up  Area,Ready To Move,Mulund,4 BHK,,2650,4.0,2.0,23937.5,23937.5
Super built-up  Area,22-Dec,Khar,3 BHK,Sabixtt,1282,2.0,2.0,16666.66667,16666.66667
Built-up  Area,Ready To Move,Goregaon,2 BHK,,1050,2.0,1.0,16111.11111,16111.11111
Built-up  Area,Ready To Move,Ghatkopar,3 BHK,Sragei ,1600,3.0,2.0,17771.88329,17771.88329
Super built-up  Area,22-Jan,Ghatkopar,2 BHK,,945,2.0,1.0,8470.588235,8470.588235
Super built-up  Area,Ready To Move,Worli,2 BHK,SyidaCr,1500,2.0,1.0,14400.0,14400.0
Plot  Area,Ready To Move,Lower Parel,7 Bedroom,,950,7.0,0.0,20770.28886,20770.28886
Built-up  Area,Ready To Move,Santacruz,3 BHK,Jahts H,1870,3.0,3.0,43424.31762,43424.31762
Plot  Area,Ready To Move,Borivali,3 Bedroom,Inensba,1600,3.0,1.0,26571.42857,26571.42857
Super built-up  Area,Ready To Move,Bandra,2 BHK,Itelaa ,880,1.0,1.0,10000.0,10000.0
Plot  Area,Ready To Move,Bandra,4 Bedroom,,1200,4.0,0.0,14945.05495,14945.05495
Super built-up  Area,Ready To Move,Bandra,3 BHK,Srier P,1535,3.0,2.0,18500.0,18500.0
Built-up  Area,Ready To Move,Juhu,2 BHK,Wiowsri,950,2.0,1.0,8726.899384,11344.9691992
Super built-up  Area,18-Aug,Malad,2 BHK,Derdsig,1360,2.0,1.0,31250.0,31250.0
Super built-up  Area,19-Mar,Borivali,2 BHK,Vaarech,1042 - 1105,2.0,0.0,45592.70517,45592.70517
Super built-up  Area,18-May,Dadar,3 BHK,,1280,3.0,1.0,18506.27892,22207.534704
Super built-up  Area,19-Jan,Lower Parel,3 BHK,TiaksAa,1260,2.0,2.0,28260.86957,28260.86957
Built-up  Area,Ready To Move,Juhu,8 Bedroom,,5000,8.0,,13953.48837,18139.534881
Super built-up  Area,19-Dec,Ghatkopar,5 BHK,LedorSa,3050,5.0,1.0,34273.7722,34273.7722
Super built-up  Area,Ready To Move,Colaba,3 BHK,HMwerCo,1563.05,3.0,1.0,21710.81198,28224.055573999998
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,,1000,2.0,1.0,17000.0,17000.0
Super built-up  Area,17-Jul,Chembur,2 BHK,ViensRK,1167,2.0,1.0,15557.47623,15557.47623
Super built-up  Area,Ready To Move,Andheri,7 BHK,,4000,7.0,2.0,36666.66667,44000.000003999994
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,Somumys,1828,3.0,,20000.0,20000.0
Super built-up  Area,Ready To Move,Worli,2 BHK,HoiewLa,890,2.0,1.0,13621.62162,13621.62162
Super built-up  Area,Ready To Move,Kurla,3 BHK,Dwity T,1612,3.0,3.0,16000.0,16000.0
Plot  Area,Ready To Move,Worli,6 Bedroom,,1034,5.0,,16279.06977,16279.06977
Super built-up  Area,19-Apr,Ghatkopar,3 BHK,Brama P,1710,4.0,2.0,7948.275862,7948.275862
Super built-up  Area,Ready To Move,Bandra,2 BHK,VBownre,957,2.0,1.0,19764.39791,19764.39791
Super built-up  Area,18-May,Kurla,3 BHK,,1250,2.0,3.0,27736.13193,27736.13193
Super built-up  Area,Ready To Move,Khar,3 BHK,Betatsi,2795,4.0,,18932.03883,18932.03883
Super built-up  Area,Ready To Move,Goregaon,2 BHK,Prcan P,1125,2.0,2.0,11226.41509,11226.41509
Super built-up  Area,18-Jul,Worli,2 BHK,Sryalan,1020,2.0,1.0,24897.95918,24897.95918
Super built-up  Area,Ready To Move,Chembur,2 BHK,,1200,2.0,2.0,17365.26946,17365.26946
Super built-up  Area,Ready To Move,Khar,3 BHK,Soitya ,1735,3.0,3.0,23333.33333,23333.33333
Super built-up  Area,Ready To Move,Dadar,3 BHK,G conTh,2050,3.0,1.0,18000.0,21600.0
Plot  Area,Ready To Move,Vile Parle,4 Bedroom,,3750,4.0,0.0,25238.09524,25238.09524
Built-up  Area,Ready To Move,Ghatkopar,3 BHK,,1350,2.0,3.0,18036.07214,18036.07214
Super built-up  Area,18-May,Vile Parle,2 BHK,SStusan,1063,2.0,1.0,26816.609,26816.609
Super built-up  Area,Ready To Move,Powai,3 BHK,ETens G,1904,3.0,1.0,15185.18519,15185.18519
Built-up  Area,Ready To Move,Kurla,4 Bedroom,,4200,4.0,2.0,35714.28571,35714.28571
Super built-up  Area,Ready To Move,Santacruz,3 BHK,Hohnari,2000,3.0,1.0,33000.0,33000.0
Super built-up  Area,18-Dec,Bandra,2 BHK,Kinuerg,1145 - 1340,2.0,0.0,14270.83333,14270.83333
Super built-up  Area,Ready To Move,Colaba,3 BHK,Naods W,1425,2.0,2.0,19444.44444,25277.777772
Super built-up  Area,Ready To Move,Worli,3 BHK,GMown E,1500,2.0,1.0,24736.84211,24736.84211
Built-up  Area,Ready To Move,Kurla,2 BHK,GMown E,1060,2.0,1.0,14545.45455,14545.45455
Built-up  Area,Ready To Move,Powai,3 BHK,Sancyra,1470,2.0,2.0,16067.32976,16067.32976
Super built-up  Area,Ready To Move,Chembur,6 BHK,,1300,6.0,0.0,24090.90909,24090.90909
Super built-up  Area,Ready To Move,Powai,1 BHK,Jae 1hu,450,1.0,1.0,29166.66667,29166.66667
Super built-up  Area,18-Apr,Goregaon,2 BHK,Prarkun,1152,2.0,1.0,16964.28571,16964.28571
Super built-up  Area,Ready To Move,Vile Parle,3 BHK,GMown E,1350,2.0,1.0,19230.76923,19230.76923
Super built-up  Area,Ready To Move,Chembur,3 BHK,Srshq T,1550,3.0,3.0,20952.38095,20952.38095
Plot  Area,Ready To Move,Worli,3 Bedroom,,1500,3.0,2.0,24175.82418,24175.82418
Plot  Area,Ready To Move,Vile Parle,5 Bedroom,,600,3.0,2.0,19485.29412,19485.29412
Plot  Area,Ready To Move,Khar,1 Bedroom,,400,1.0,0.0,26470.58824,26470.58824
Super built-up  Area,Ready To Move,Colaba,1 BHK,Utntspa,705,1.0,2.0,20279.72028,26363.636364
Built-up  Area,Ready To Move,Andheri,2 BHK,GMown E,770,1.0,1.0,16235.29412,19482.352944
Super built-up  Area,Ready To Move,Dadar,2 BHK,Aniona ,1242,2.0,3.0,19047.61905,22857.14286
Super built-up  Area,Ready To Move,Mulund,3 BHK,Goateds,1700,3.0,2.0,50000.0,50000.0
Super built-up  Area,Ready To Move,Colaba,3 BHK,Soitya ,2144,3.0,2.0,35000.0,45500.0
Super built-up  Area,21-Jun,Worli,3 BHK,Saahaat,1704,3.0,2.0,19421.17289,19421.17289
Super built-up  Area,Ready To Move,Borivali,2 BHK,GMown E,1070,2.0,1.0,24720.0,24720.0
Plot  Area,Ready To Move,Andheri,3 Bedroom,,1846,3.0,2.0,32843.56093,39412.273116
Super built-up  Area,Ready To Move,Andheri,2 BHK,,1340,2.0,2.0,44090.90909,52909.090908
Built-up  Area,Ready To Move,Kurla,2 BHK,GMown E,1025,2.0,1.0,18709.67742,18709.67742
Super built-up  Area,Ready To Move,Mulund,2 BHK,MCvarar,1015 - 1540,2.0,0.0,18367.34694,18367.34694
Super built-up  Area,Ready To Move,Mulund,2 BHK,VRave E,1200,2.0,2.0,35833.33333,35833.33333
Built-up  Area,18-Dec,Mulund,4 Bedroom,,2250,4.0,1.0,19090.90909,19090.90909
Super built-up  Area,Ready To Move,Santacruz,3 BHK,MaidoPl,1550,2.0,3.0,19371.72775,19371.72775
Plot  Area,Ready To Move,Bandra,4 Bedroom,,1200,5.0,,42727.27273,42727.27273
Plot  Area,Ready To Move,Kurla,7 Bedroom,,1800,7.0,1.0,47727.27273,47727.27273
Super built-up  Area,Ready To Move,Malad,2 BHK,Aiitya ,1200,2.0,2.0,20740.74074,20740.74074
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,PuziaVe,1327,2.0,2.0,19125.68306,19125.68306
Super built-up  Area,Ready To Move,Kurla,2 BHK,,1186,2.0,2.0,19000.0,19000.0
Built-up  Area,Ready To Move,Malad,3 Bedroom,,1783,3.0,1.0,16342.85714,16342.85714
Super built-up  Area,Ready To Move,Powai,3 BHK,NRosete,1400,3.0,2.0,19204.54545,19204.54545
Super built-up  Area,Ready To Move,Malad,2 BHK,,980,2.0,1.0,14583.33333,14583.33333
Super built-up  Area,Ready To Move,Juhu,2 BHK,,1285,2.0,2.0,16864.1115,21923.34495
Super built-up  Area,Ready To Move,Dadar,3 BHK,,912,2.0,1.0,21212.12121,25454.545452000002
Built-up  Area,Ready To Move,Goregaon,2 BHK,Sancya ,1225,2.0,2.0,17686.42447,17686.42447
Super built-up  Area,Ready To Move,Khar,2 BHK,,1075,2.0,1.0,14402.17391,14402.17391
Built-up  Area,Ready To Move,Andheri,3 BHK,MSingco,1260,2.0,2.0,33478.26087,40173.91304399999
Super built-up  Area,Ready To Move,Worli,3 BHK,Pyikad ,1282,2.0,2.0,23913.04348,23913.04348
Super built-up  Area,Ready To Move,Worli,3 BHK,CaIRSCr,1909,3.0,2.0,97222.22222,97222.22222
Super built-up  Area,Ready To Move,Dadar,2 BHK,Prcesvy,1359,2.0,1.0,15882.35294,19058.823528
Built-up  Area,Ready To Move,Malad,2 BHK,,1207,2.0,2.0,26972.97297,26972.97297
Plot  Area,Ready To Move,Vile Parle,4 Bedroom,,1736,6.0,0.0,14705.88235,14705.88235
Super built-up  Area,20-May,Chembur,4 BHK,,2850,4.0,1.0,17600.0,17600.0
Super built-up  Area,Ready To Move,Chembur,3 BHK,Emstael,1595,3.0,2.0,17600.0,17600.0
Built-up  Area,18-Jun,Worli,3 BHK,,1798,3.0,2.0,15046.2963,15046.2963
Super built-up  Area,Ready To Move,Khar,3 BHK,SNdri N,1475,3.0,2.0,17916.66667,17916.66667
Super built-up  Area,Ready To Move,Colaba,3 BHK,HodhiSa,1580,3.0,3.0,24347.82609,31652.173917
Super built-up  Area,Ready To Move,Worli,2 BHK,Syonyph,1295,2.0,1.0,18530.35144,18530.35144
Built-up  Area,Ready To Move,Khar,6 Bedroom,,3600,6.0,0.0,19130.43478,19130.43478
Super built-up  Area,Ready To Move,Vile Parle,1 BHK,Itvir M,589,1.0,1.0,18518.51852,18518.51852
Super built-up  Area,Ready To Move,Juhu,3 BHK,,1415,3.0,3.0,17254.60123,22430.981599000002
Super built-up  Area,18-Dec,Vile Parle,3 BHK,Klark L,1787,3.0,2.0,22068.96552,22068.96552
Super built-up  Area,Ready To Move,Powai,3 BHK,Klark L,1787,3.0,2.0,40000.0,40000.0
Super built-up  Area,Ready To Move,Mulund,3 BHK,Piityra,1475,2.0,3.0,27500.0,27500.0
Built-up  Area,Ready To Move,Powai,4 BHK,,2000,4.0,1.0,17879.16153,17879.16153
Super built-up  Area,19-Mar,Lower Parel,2 BHK,AsastDe,984,2.0,1.0,51428.57143,51428.57143
Super built-up  Area,19-Dec,Khar,3 BHK,Jurdsig,1520 - 1740,,,14814.81481,14814.81481
Super built-up  Area,Ready To Move,Mulund,3 BHK,MacleK ,2405,4.0,2.0,27142.85714,27142.85714
Built-up  Area,Ready To Move,Mulund,2 BHK,Brnia G,1080,2.0,2.0,17448.27586,17448.27586
Plot  Area,Ready To Move,Malad,2 Bedroom,,1500,2.0,1.0,13888.88889,13888.88889
Super built-up  Area,Ready To Move,Chembur,3 BHK,,1900,3.0,2.0,39130.43478,39130.43478
Super built-up  Area,19-Aug,Chembur,2 BHK,,805,2.0,1.0,16521.73913,16521.73913
Super built-up  Area,Ready To Move,Goregaon,2 BHK,PrityTr,1153,2.0,2.0,17346.93878,17346.93878
Super built-up  Area,Ready To Move,Chembur,2 BHK,AlEcone,1148,2.0,2.0,16179.77528,16179.77528
Super built-up  Area,Ready To Move,Colaba,2 BHK,Laowsba,1110,2.0,2.0,16034.98542,20845.481046
Built-up  Area,Ready To Move,Juhu,2 BHK,Saave R,1100,2.0,2.0,21428.57143,27857.142859
Super built-up  Area,Ready To Move,Khar,2 BHK,Anave S,1290,2.0,2.0,19366.19718,19366.19718
Super built-up  Area,Ready To Move,Kurla,3 BHK,,1500,2.0,1.0,18537.07415,18537.07415
Super built-up  Area,18-Apr,Ghatkopar,2 BHK,,1080,2.0,2.0,10261.90476,10261.90476
Super built-up  Area,21-Jun,Andheri,3 BHK,Saityat,1933,3.0,1.0,19894.89489,23873.873868
Built-up  Area,Ready To Move,Dadar,5 Bedroom,,3500,5.0,2.0,9015.594542,10818.7134504
Built-up  Area,Ready To Move,Lower Parel,2 BHK,,1060,2.0,2.0,20270.27027,20270.27027
Super built-up  Area,18-Aug,Dadar,1 BHK,SunceEs,645,1.0,1.0,22540.98361,27049.180332
Plot  Area,Ready To Move,Lower Parel,8 Bedroom,,2600,8.0,2.0,35333.33333,35333.33333
Super built-up  Area,18-Sep,Khar,1 BHK,SunceEs,645,1.0,1.0,19238.09524,19238.09524
Super built-up  Area,Ready To Move,Kurla,3 BHK,SJcerpe,1644,3.0,3.0,38888.88889,38888.88889
Super built-up  Area,Ready To Move,Colaba,2 BHK,Supams ,1285,2.0,3.0,31547.61905,41011.904765
Plot  Area,Ready To Move,Juhu,3 Bedroom,,1200,3.0,1.0,42235.21767,54905.782971
Super built-up  Area,Ready To Move,Bandra,2 BHK,CoapeSo,910,2.0,1.0,4480.0,4480.0
Super built-up  Area,Ready To Move,Borivali,3 BHK,Bisic C,1577,3.0,1.0,18036.07214,18036.07214
Plot  Area,17-May,Dadar,3 Bedroom,Sreat R,4050,3.0,2.0,25000.0,30000.0
Super built-up  Area,Ready To Move,Vile Parle,3 BHK,Inntsa ,2420,3.0,2.0,14382.02247,14382.02247
Super built-up  Area,Ready To Move,Kurla,2 BHK,KHityry,800,1.0,1.0,23201.85615,23201.85615
Built-up  Area,Ready To Move,Colaba,2 BHK,,1060,2.0,2.0,20997.37533,27296.587929
Super built-up  Area,Ready To Move,Powai,2 BHK,BriumMi,1270,2.0,2.0,31590.90909,31590.90909
Super built-up  Area,18-Jun,Khar,2 BHK,,900,2.0,2.0,8571.428571,8571.428571
Built-up  Area,Ready To Move,Dadar,2 Bedroom,,1280,2.0,1.0,14074.07407,16888.888884
Plot  Area,Ready To Move,Khar,4 Bedroom,,1200,2.0,0.0,46428.57143,46428.57143
Built-up  Area,Ready To Move,Ghatkopar,2 BHK,,1025,2.0,2.0,20623.28139,20623.28139
Super built-up  Area,17-Jun,Kurla,2 BHK,Prarkun,1108,2.0,1.0,18000.0,18000.0
Plot  Area,Ready To Move,Malad,5 Bedroom,,1200,5.0,,27777.77778,27777.77778
Super built-up  Area,Ready To Move,Goregaon,3 BHK,Calyxy ,3045,3.0,2.0,23636.36364,23636.36364
