area_type,availability,location,size,society,total_sqft,bath,balcony,price
Built-up  Area,Ready To Move,Ghatkopar,2 BHK,Gentson,1296,2,,12124.15131
Super built-up  Area,19-Dec,Chembur,3 BHK,Soini T,1254,3,2,12350.59761
Super built-up  Area,Ready To Move,Khar,1 BHK,Ceove G,600,1,0,22812.5
Plot  Area,Ready To Move,Ghatkopar,1 Bedroom,,660,1,0,17800
Super built-up  Area,19-Sep,Colaba,2 BHK,Soazak ,1330.74,2,2,5105.263158
Plot  Area,Ready To Move,Worli,8 Bedroom,,600,9,,14500
Super built-up  Area,Ready To Move,Goregaon,2 BHK,LancyRe,970,2,0,19259.25926
Super built-up  Area,20-Sep,Santacruz,2 BHK,Goted U,1459,2,1,18820.86168
Plot  Area,Ready To Move,Malad,2 Bedroom,,800,1,1,30364.37247
Built-up  Area,Ready To Move,Colaba,2 BHK,,869,2,1,8886.792453
Super built-up  Area,Ready To Move,Bandra,2 BHK,Bhncyis,1270,2,1,14022.14022
Super built-up  Area,18-Mar,Malad,3 BHK,Rosha I,1670,3,1,16000
Built-up  Area,Ready To Move,Bandra,3 BHK,Suent V,2010,3,2,15991.23768
Super built-up  Area,Ready To Move,Chembur,2 BHK,RothaVa,1185,2,2,31431.33462
Super built-up  Area,Ready To Move,Andheri,3 BHK,NCowsar,1600,2,3,21825.39683
Super built-up  Area,Ready To Move,Malad,2 BHK,Dhalsh ,1200,2,2,14893.61702
Built-up  Area,20-Feb,Andheri,4 Bedroom,BrereAt,3010 - 3410,,,15454.54545
Super built-up  Area,Ready To Move,Goregaon,2 BHK,PeBayle,1500,2,2,40000
Plot  Area,Ready To Move,Ghatkopar,6 Bedroom,,1407,4,1,27422.30347
Super built-up  Area,Ready To Move,Vile Parle,2 BHK,,840,2,2,17419.35484
Plot  Area,Ready To Move,Goregaon,3 Bedroom,,4395,3,2,12955.12278
Super built-up  Area,Ready To Move,Kurla,2 BHK,Laavevi,845,2,1,41142.85714
Plot  Area,Ready To Move,Worli,4 Bedroom,Chranya,5700,5,3,37747.15398
Built-up  Area,Ready To Move,Juhu,2 BHK,HioraTr,1160,2,2,12946.8599
Built-up  Area,Ready To Move,Kurla,8 Bedroom,,3000,8,0,31267.60563
Super built-up  Area,Ready To Move,Ghatkopar,2 BHK,,1100,2,1,21758.43694
Super built-up  Area,18-Apr,Goregaon,2 BHK,BMineis,1140,2,3,16187.05036
Super built-up  Area,Ready To Move,Chembur,2 BHK,,1220,2,1,18441.8146
Plot  Area,Ready To Move,Mulund,8 Bedroom,,1350,7,0,25000
Super built-up  Area,Ready To Move,Khar,2 BHK,,1005,2,1,15142.85714
Plot  Area,Ready To Move,Borivali,3 Bedroom,,500,3,2,11037.03704
Super built-up  Area,20-Aug,Worli,2 BHK,Pruthg ,1358,2,1,8284.789644
Super built-up  Area,Ready To Move,Mulund,3 BHK,Sonosty,1569,3,1,9099.526066
Super built-up  Area,18-Apr,Kurla,2 BHK,SNnia E,1240,2,1,29474.81243
Super built-up  Area,Ready To Move,Chembur,3 BHK,Anavi B,2089,3,2,12897.19626
Super built-up  Area,Ready To Move,Santacruz,2 BHK,,1206,2,1,14685.31469
Super built-up  Area,Ready To Move,Borivali,2 BHK,,1150,2,3,9750
Built-up  Area,Ready To Move,Mulund,3 BHK,Viony H,2511,3,3,15362.31884
Built-up  Area,Ready To Move,Andheri,2 BHK,,460,1,0,30000
Built-up  Area,Ready To Move,Chembur,6 Bedroom,,4400,6,3,32105.26316
Super built-up  Area,Ready To Move,Mulund,3 BHK,AdentEl,1660,2,2,10156.25
Built-up  Area,18-Oct,Andheri,4 Bedroom,Gollela,2957 - 3450,,,33366.04514
Super built-up  Area,19-Mar,Juhu,2 BHK,Niareum,1326,2,2,16323.09634
Super built-up  Area,Ready To Move,Vile Parle,3 BHK,,1325,2,2,21060.27596
Super built-up  Area,Ready To Move,Santacruz,3 BHK,SJlynro,1499,5,2,16854.67817
Built-up  Area,Ready To Move,Colaba,6 Bedroom,,3000,7,2,16000
Super built-up  Area,Ready To Move,Colaba,3 BHK,,1665,3,2,11583.33333
Super built-up  Area,17-Sep,Worli,2 BHK,Tavenew,708,2,2,8403.361345
Super built-up  Area,Ready To Move,Andheri,2 BHK,Srire S,1060,2,2,15454.54545
Plot  Area,Ready To Move,Dadar,6 Bedroom,,710,6,3,17375
Built-up  Area,Ready To Move,Kurla,2 BHK,Saenti ,1000,2,2,14285.71429
Super built-up  Area,18-Dec,Ghatkopar,2 BHK,,1000,2,1,18947.36842
Super built-up  Area,Ready To Move,Worli,3 BHK,,1450,2,2,18500
Plot  Area,Ready To Move,Goregaon,4 Bedroom,,1200,4,2,27272.72727
Super built-up  Area,17-Aug,Borivali,2 BHK,Bhmesy ,1296,2,3,42500
Super built-up  Area,Ready To Move,Andheri,3 BHK,,1540,3,2,13237.48141
Plot  Area,Ready To Move,Mulund,4 Bedroom,Goardth,2894,4,1,33333.33333
Super built-up  Area,Ready To Move,Juhu,3 BHK,,1330,2,1,21753.24675
Built-up  Area,Ready To Move,Santacruz,2 BHK,,1200,2,1,17892.64414
Built-up  Area,Ready To Move,Vile Parle,3 Bedroom,,1200,3,1,16111.11111
Super built-up  Area,Ready To Move,Bandra,3 BHK,IBityin,2502,3,3,7721.280603
Built-up  Area,Ready To Move,Dadar,2 BHK,KHityry,650,1,1,50000
Plot  Area,Ready To Move,Vile Parle,3 Bedroom,BDensar,2400,2,1,15083.33333
Super built-up  Area,Ready To Move,Worli,2 BHK,Makeser,1007,2,2,32438.47875
Super built-up  Area,Ready To Move,Powai,2 BHK,Maest N,1200,2,2,30290.45643
Super built-up  Area,Ready To Move,Mulund,2 BHK,,966,2,2,13714.28571
Built-up  Area,Ready To Move,Colaba,3 BHK,,1630,2,1,7497.57517
Built-up  Area,Ready To Move,Powai,3 BHK,Brway G,1640,3,2,8388.090349
Built-up  Area,Ready To Move,Malad,2 BHK,,782,2,2,8193.484699
Super built-up  Area,19-Apr,Andheri,2 BHK,Oznuean,1260,2,2,27647.05882
Super built-up  Area,Ready To Move,Borivali,3 BHK,,1800,3,3,34615.38462
Super built-up  Area,Ready To Move,Dadar,3 BHK,Reeroce,1413,2,2,7699.901283
Super built-up  Area,Ready To Move,Ghatkopar,2 BHK,Sonviik,1116,2,1,23103.44828
Super built-up  Area,Ready To Move,Mulund,3 BHK,DSgmax ,1530,2,1,22189.34911
Built-up  Area,Ready To Move,Andheri,4 Bedroom,,3700,4,1,8501.026694
Built-up  Area,Ready To Move,Ghatkopar,3 Bedroom,Cetattu,2497,3,2,18585.85859
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,Vaens G,1540,2,3,22500
Super built-up  Area,18-Dec,Worli,3 BHK,,1436,3,1,8095.69378
Super built-up  Area,18-Jun,Mulund,2 BHK,,1100,2,2,16616.54135
Plot  Area,Ready To Move,Goregaon,2 Bedroom,,276,3,3,11454.54545
Super built-up  Area,Ready To Move,Andheri,3 BHK,Moity S,1427,3,2,6098.360656
Super built-up  Area,Ready To Move,Dadar,3 BHK,HiahsLa,2061,3,1,19421.4876
Super built-up  Area,18-Mar,Goregaon,4 BHK,SNontle,3067 - 8156,4,0,33298.64724
Built-up  Area,Ready To Move,Mulund,4 BHK,,2650,4,2,23937.5
Super built-up  Area,22-Dec,Khar,3 BHK,Sabixtt,1282,2,2,16666.66667
Built-up  Area,Ready To Move,Goregaon,2 BHK,,1050,2,1,16111.11111
Built-up  Area,Ready To Move,Ghatkopar,3 BHK,Sragei ,1600,3,2,17771.88329
Super built-up  Area,22-Jan,Ghatkopar,2 BHK,,945,2,1,8470.588235
Super built-up  Area,Ready To Move,Worli,2 BHK,SyidaCr,1500,2,1,14400
Plot  Area,Ready To Move,Lower Parel,7 Bedroom,,950,7,0,20770.28886
Built-up  Area,Ready To Move,Santacruz,3 BHK,Jahts H,1870,3,3,43424.31762
Plot  Area,Ready To Move,Borivali,3 Bedroom,Inensba,1600,3,1,26571.42857
Super built-up  Area,Ready To Move,Bandra,2 BHK,Itelaa ,880,1,1,10000
Plot  Area,Ready To Move,Bandra,4 Bedroom,,1200,4,0,14945.05495
Super built-up  Area,Ready To Move,Bandra,3 BHK,Srier P,1535,3,2,18500
Built-up  Area,Ready To Move,Juhu,2 BHK,Wiowsri,950,2,1,8726.899384
Super built-up  Area,18-Aug,Malad,2 BHK,Derdsig,1360,2,1,31250
Super built-up  Area,19-Mar,Borivali,2 BHK,Vaarech,1042 - 1105,2,0,45592.70517
Super built-up  Area,18-May,Dadar,3 BHK,,1280,3,1,18506.27892
Super built-up  Area,19-Jan,Lower Parel,3 BHK,TiaksAa,1260,2,2,28260.86957
Built-up  Area,Ready To Move,Juhu,8 Bedroom,,5000,8,,13953.48837
Super built-up  Area,19-Dec,Ghatkopar,5 BHK,LedorSa,3050,5,1,34273.7722
Super built-up  Area,Ready To Move,Colaba,3 BHK,HMwerCo,1563.05,3,1,21710.81198
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,,1000,2,1,17000
Super built-up  Area,17-Jul,Chembur,2 BHK,ViensRK,1167,2,1,15557.47623
Super built-up  Area,Ready To Move,Andheri,7 BHK,,4000,7,2,36666.66667
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,Somumys,1828,3,,20000
Super built-up  Area,Ready To Move,Worli,2 BHK,HoiewLa,890,2,1,13621.62162
Super built-up  Area,Ready To Move,Kurla,3 BHK,Dwity T,1612,3,3,16000
Plot  Area,Ready To Move,Worli,6 Bedroom,,1034,5,,16279.06977
Super built-up  Area,19-Apr,Ghatkopar,3 BHK,Brama P,1710,4,2,7948.275862
Super built-up  Area,Ready To Move,Bandra,2 BHK,VBownre,957,2,1,19764.39791
Super built-up  Area,18-May,Kurla,3 BHK,,1250,2,3,27736.13193
Super built-up  Area,Ready To Move,Khar,3 BHK,Betatsi,2795,4,,18932.03883
Super built-up  Area,Ready To Move,Goregaon,2 BHK,Prcan P,1125,2,2,11226.41509
Super built-up  Area,18-Jul,Worli,2 BHK,Sryalan,1020,2,1,24897.95918
Super built-up  Area,Ready To Move,Chembur,2 BHK,,1200,2,2,17365.26946
Super built-up  Area,Ready To Move,Khar,3 BHK,Soitya ,1735,3,3,23333.33333
Super built-up  Area,Ready To Move,Dadar,3 BHK,G conTh,2050,3,1,18000
Plot  Area,Ready To Move,Vile Parle,4 Bedroom,,3750,4,0,25238.09524
Built-up  Area,Ready To Move,Ghatkopar,3 BHK,,1350,2,3,18036.07214
Super built-up  Area,18-May,Vile Parle,2 BHK,SStusan,1063,2,1,26816.609
Super built-up  Area,Ready To Move,Powai,3 BHK,ETens G,1904,3,1,15185.18519
Built-up  Area,Ready To Move,Kurla,4 Bedroom,,4200,4,2,35714.28571
Super built-up  Area,Ready To Move,Santacruz,3 BHK,Hohnari,2000,3,1,33000
Super built-up  Area,18-Dec,Bandra,2 BHK,Kinuerg,1145 - 1340,2,0,14270.83333
Super built-up  Area,Ready To Move,Colaba,3 BHK,Naods W,1425,2,2,19444.44444
Super built-up  Area,Ready To Move,Worli,3 BHK,GMown E,1500,2,1,24736.84211
Built-up  Area,Ready To Move,Kurla,2 BHK,GMown E,1060,2,1,14545.45455
Built-up  Area,Ready To Move,Powai,3 BHK,Sancyra,1470,2,2,16067.32976
Super built-up  Area,Ready To Move,Chembur,6 BHK,,1300,6,0,24090.90909
Super built-up  Area,Ready To Move,Powai,1 BHK,Jae 1hu,450,1,1,29166.66667
Super built-up  Area,18-Apr,Goregaon,2 BHK,Prarkun,1152,2,1,16964.28571
Super built-up  Area,Ready To Move,Vile Parle,3 BHK,GMown E,1350,2,1,19230.76923
Super built-up  Area,Ready To Move,Chembur,3 BHK,Srshq T,1550,3,3,20952.38095
Plot  Area,Ready To Move,Worli,3 Bedroom,,1500,3,2,24175.82418
Plot  Area,Ready To Move,Vile Parle,5 Bedroom,,600,3,2,19485.29412
Plot  Area,Ready To Move,Khar,1 Bedroom,,400,1,0,26470.58824
Super built-up  Area,Ready To Move,Colaba,1 BHK,Utntspa,705,1,2,20279.72028
Built-up  Area,Ready To Move,Andheri,2 BHK,GMown E,770,1,1,16235.29412
Super built-up  Area,Ready To Move,Dadar,2 BHK,Aniona ,1242,2,3,19047.61905
Super built-up  Area,Ready To Move,Mulund,3 BHK,Goateds,1700,3,2,50000
Super built-up  Area,Ready To Move,Colaba,3 BHK,Soitya ,2144,3,2,35000
Super built-up  Area,21-Jun,Worli,3 BHK,Saahaat,1704,3,2,19421.17289
Super built-up  Area,Ready To Move,Borivali,2 BHK,GMown E,1070,2,1,24720
Plot  Area,Ready To Move,Andheri,3 Bedroom,,1846,3,2,32843.56093
Super built-up  Area,Ready To Move,Andheri,2 BHK,,1340,2,2,44090.90909
Built-up  Area,Ready To Move,Kurla,2 BHK,GMown E,1025,2,1,18709.67742
Super built-up  Area,Ready To Move,Mulund,2 BHK,MCvarar,1015 - 1540,2,0,18367.34694
Super built-up  Area,Ready To Move,Mulund,2 BHK,VRave E,1200,2,2,35833.33333
Built-up  Area,18-Dec,Mulund,4 Bedroom,,2250,4,1,19090.90909
Super built-up  Area,Ready To Move,Santacruz,3 BHK,MaidoPl,1550,2,3,19371.72775
Plot  Area,Ready To Move,Bandra,4 Bedroom,,1200,5,,42727.27273
Plot  Area,Ready To Move,Kurla,7 Bedroom,,1800,7,1,47727.27273
Super built-up  Area,Ready To Move,Malad,2 BHK,Aiitya ,1200,2,2,20740.74074
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,PuziaVe,1327,2,2,19125.68306
Super built-up  Area,Ready To Move,Kurla,2 BHK,,1186,2,2,19000
Built-up  Area,Ready To Move,Malad,3 Bedroom,,1783,3,1,16342.85714
Super built-up  Area,Ready To Move,Powai,3 BHK,NRosete,1400,3,2,19204.54545
Super built-up  Area,Ready To Move,Malad,2 BHK,,980,2,1,14583.33333
Super built-up  Area,Ready To Move,Juhu,2 BHK,,1285,2,2,16864.1115
Super built-up  Area,Ready To Move,Dadar,3 BHK,,912,2,1,21212.12121
Built-up  Area,Ready To Move,Goregaon,2 BHK,Sancya ,1225,2,2,17686.42447
Super built-up  Area,Ready To Move,Khar,2 BHK,,1075,2,1,14402.17391
Built-up  Area,Ready To Move,Andheri,3 BHK,MSingco,1260,2,2,33478.26087
Super built-up  Area,Ready To Move,Worli,3 BHK,Pyikad ,1282,2,2,23913.04348
Super built-up  Area,Ready To Move,Worli,3 BHK,CaIRSCr,1909,3,2,97222.22222
Super built-up  Area,Ready To Move,Dadar,2 BHK,Prcesvy,1359,2,1,15882.35294
Built-up  Area,Ready To Move,Malad,2 BHK,,1207,2,2,26972.97297
Plot  Area,Ready To Move,Vile Parle,4 Bedroom,,1736,6,0,14705.88235
Super built-up  Area,20-May,Chembur,4 BHK,,2850,4,1,17600
Super built-up  Area,Ready To Move,Chembur,3 BHK,Emstael,1595,3,2,17600
Built-up  Area,18-Jun,Worli,3 BHK,,1798,3,2,15046.2963
Super built-up  Area,Ready To Move,Khar,3 BHK,SNdri N,1475,3,2,17916.66667
Super built-up  Area,Ready To Move,Colaba,3 BHK,HodhiSa,1580,3,3,24347.82609
Super built-up  Area,Ready To Move,Worli,2 BHK,Syonyph,1295,2,1,18530.35144
Built-up  Area,Ready To Move,Khar,6 Bedroom,,3600,6,0,19130.43478
Super built-up  Area,Ready To Move,Vile Parle,1 BHK,Itvir M,589,1,1,18518.51852
Super built-up  Area,Ready To Move,Juhu,3 BHK,,1415,3,3,17254.60123
Super built-up  Area,18-Dec,Vile Parle,3 BHK,Klark L,1787,3,2,22068.96552
Super built-up  Area,Ready To Move,Powai,3 BHK,Klark L,1787,3,2,40000
Super built-up  Area,Ready To Move,Mulund,3 BHK,Piityra,1475,2,3,27500
Built-up  Area,Ready To Move,Powai,4 BHK,,2000,4,1,17879.16153
Super built-up  Area,19-Mar,Lower Parel,2 BHK,AsastDe,984,2,1,51428.57143
Super built-up  Area,19-Dec,Khar,3 BHK,Jurdsig,1520 - 1740,,,14814.81481
Super built-up  Area,Ready To Move,Mulund,3 BHK,MacleK ,2405,4,2,27142.85714
Built-up  Area,Ready To Move,Mulund,2 BHK,Brnia G,1080,2,2,17448.27586
Plot  Area,Ready To Move,Malad,2 Bedroom,,1500,2,1,13888.88889
Super built-up  Area,Ready To Move,Chembur,3 BHK,,1900,3,2,39130.43478
Super built-up  Area,19-Aug,Chembur,2 BHK,,805,2,1,16521.73913
Super built-up  Area,Ready To Move,Goregaon,2 BHK,PrityTr,1153,2,2,17346.93878
Super built-up  Area,Ready To Move,Chembur,2 BHK,AlEcone,1148,2,2,16179.77528
Super built-up  Area,Ready To Move,Colaba,2 BHK,Laowsba,1110,2,2,16034.98542
Built-up  Area,Ready To Move,Juhu,2 BHK,Saave R,1100,2,2,21428.57143
Super built-up  Area,Ready To Move,Khar,2 BHK,Anave S,1290,2,2,19366.19718
Super built-up  Area,Ready To Move,Kurla,3 BHK,,1500,2,1,18537.07415
Super built-up  Area,18-Apr,Ghatkopar,2 BHK,,1080,2,2,10261.90476
Super built-up  Area,21-Jun,Andheri,3 BHK,Saityat,1933,3,1,19894.89489
Built-up  Area,Ready To Move,Dadar,5 Bedroom,,3500,5,2,9015.594542
Built-up  Area,Ready To Move,Lower Parel,2 BHK,,1060,2,2,20270.27027
Super built-up  Area,18-Aug,Dadar,1 BHK,SunceEs,645,1,1,22540.98361
Plot  Area,Ready To Move,Lower Parel,8 Bedroom,,2600,8,2,35333.33333
Super built-up  Area,18-Sep,Khar,1 BHK,SunceEs,645,1,1,19238.09524
Super built-up  Area,Ready To Move,Kurla,3 BHK,SJcerpe,1644,3,3,38888.88889
Super built-up  Area,Ready To Move,Colaba,2 BHK,Supams ,1285,2,3,31547.61905
Plot  Area,Ready To Move,Juhu,3 Bedroom,,1200,3,1,42235.21767
Super built-up  Area,Ready To Move,Bandra,2 BHK,CoapeSo,910,2,1,4480
Super built-up  Area,Ready To Move,Borivali,3 BHK,Bisic C,1577,3,1,18036.07214
Plot  Area,17-May,Dadar,3 Bedroom,Sreat R,4050,3,2,25000
Super built-up  Area,Ready To Move,Vile Parle,3 BHK,Inntsa ,2420,3,2,14382.02247
Super built-up  Area,Ready To Move,Kurla,2 BHK,KHityry,800,1,1,23201.85615
Built-up  Area,Ready To Move,Colaba,2 BHK,,1060,2,2,20997.37533
Super built-up  Area,Ready To Move,Powai,2 BHK,BriumMi,1270,2,2,31590.90909
Super built-up  Area,18-Jun,Khar,2 BHK,,900,2,2,8571.428571
Built-up  Area,Ready To Move,Dadar,2 Bedroom,,1280,2,1,14074.07407
Plot  Area,Ready To Move,Khar,4 Bedroom,,1200,2,0,46428.57143
Built-up  Area,Ready To Move,Ghatkopar,2 BHK,,1025,2,2,20623.28139
Super built-up  Area,17-Jun,Kurla,2 BHK,Prarkun,1108,2,1,18000
Plot  Area,Ready To Move,Malad,5 Bedroom,,1200,5,,27777.77778
Super built-up  Area,Ready To Move,Goregaon,3 BHK,Calyxy ,3045,3,2,23636.36364
Plot  Area,Ready To Move,Vile Parle,4 Bedroom,Thessrm,2900,3,2,14732.14286
Super built-up  Area,Ready To Move,Malad,3 BHK,JJortom,1500,3,2,46000
Super built-up  Area,Ready To Move,Santacruz,2 BHK,GrrvaGr,1295,2,2,15686.27451
Super built-up  Area,Ready To Move,Dadar,2 BHK,PrityTr,1162,2,1,31746.03175
Super built-up  Area,Ready To Move,Santacruz,2 BHK,Usquaya,1035,2,2,22619.04762
Built-up  Area,Ready To Move,Worli,4 Bedroom,Natic T,1600,4,0,15483.87097
Super built-up  Area,Ready To Move,Powai,3 BHK,,1464,3,2,38000
Super built-up  Area,18-Oct,Mulund,3 BHK,DSapeSk,1866,2,2,24444.44444
Super built-up  Area,Ready To Move,Malad,2 BHK,Jahtsa ,700,1,1,19444.44444
Super built-up  Area,Ready To Move,Santacruz,3 BHK,Prillot,1804,3,2,27685.18519
Super built-up  Area,Ready To Move,Juhu,2 BHK,,913,2,1,19117.64706
Super built-up  Area,21-Dec,Bandra,3 BHK,Sodgere,1868,3,2,21250
Built-up  Area,Ready To Move,Juhu,2 BHK,,883,2,1,21904.7619
Plot  Area,Ready To Move,Borivali,2 Bedroom,,900,2,1,18250
Super built-up  Area,Ready To Move,Chembur,3 BHK,,1664,2,3,15714.28571
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,SoitaCa,2026,3,2,36538.46154
Super built-up  Area,Ready To Move,Malad,2 BHK,Soestin,1210,2,1,24817.51825
Plot  Area,Ready To Move,Khar,4 Bedroom,Sreat R,4111,4,2,19333.33333
Super built-up  Area,Ready To Move,Vile Parle,3 BHK,Alestrb,1762,3,3,46625.76687
Super built-up  Area,Ready To Move,Lower Parel,3 BHK,DLhtsen,1252,3,3,15625
Built-up  Area,Ready To Move,Chembur,2 BHK,Mauner ,861,2,1,22826.08696
Built-up  Area,Ready To Move,Worli,3 BHK,Brnia G,1420,2,1,33600
Plot  Area,Ready To Move,Malad,6 Bedroom,,1450,6,0,18950.43732
Built-up  Area,Ready To Move,Goregaon,3 BHK,GaicaVe,1490,3,1,28030.30303
Super built-up  Area,Ready To Move,Khar,3 BHK,,1075,2,1,17826.08696
Super built-up  Area,18-Aug,Dadar,3 BHK,Saesttt,1425,2,2,16055.04587
Built-up  Area,Ready To Move,Juhu,2 BHK,Nae 2El,1200,2,1,18960.67416
Super built-up  Area,Ready To Move,Mulund,3 BHK,,1280,2,2,21428.57143
Super built-up  Area,Ready To Move,Mulund,2 BHK,Bhinglv,1084,2,2,26813.88013
Super built-up  Area,18-Jul,Vile Parle,2 BHK,SunceEs,1015,2,2,24271.84466
Super built-up  Area,21-May,Andheri,2 BHK,GolusLi,1017,2,1,16243.65482
Super built-up  Area,Ready To Move,Juhu,2 BHK,,1027,2,2,9696.969697
Super built-up  Area,Ready To Move,Khar,2 BHK,Coush W,1069,2,2,30671.10372
Super built-up  Area,Ready To Move,Powai,2 BHK,Prersis,1349,2,1,6933.333333
Super built-up  Area,Ready To Move,Vile Parle,2 BHK,NaensGa,1005,2,1,14347.82609
Super built-up  Area,Ready To Move,Powai,2 BHK,Arzzo P,1417,2,3,24823.25216
Plot  Area,18-Jan,Andheri,3 Bedroom,,1475,3,1,20872.27414
Carpet  Area,Ready To Move,Worli,2 BHK,SMikaay,950,2,2,6250
Super built-up  Area,Ready To Move,Borivali,4 BHK,Prave E,2000,4,0,22737.64259
Plot  Area,Ready To Move,Andheri,3 Bedroom,,880,3,1,7078.651685
Super built-up  Area,Ready To Move,Santacruz,4 BHK,Ahriaup,1863,3,2,9696.969697
Super built-up  Area,Ready To Move,Dadar,2 BHK,Priewhi,1010,2,1,18260.86957
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,Shodsth,1425,2,1,44210.52632
Super built-up  Area,Ready To Move,Powai,3 BHK,Swadeh ,1450,3,0,5000
Super built-up  Area,Ready To Move,Chembur,3 BHK,Somumys,1847,3,2,33333.33333
Super built-up  Area,Ready To Move,Worli,2 BHK,Soran U,1100,2,3,20800
Super built-up  Area,20-Dec,Juhu,1 BHK,PrarePa,525,1,1,90019.56947
Super built-up  Area,Ready To Move,Vile Parle,3 BHK,Puestig,1665,3,2,18531.07345
Super built-up  Area,Ready To Move,Kurla,4 BHK,Prntsrt,1664,4,3,21383.6478
Super built-up  Area,Ready To Move,Goregaon,3 BHK,Maerar ,1850,3,3,14749.26254
Super built-up  Area,Ready To Move,Malad,2 BHK,Vaesh T,1438,2,3,23853.21101
Super built-up  Area,Ready To Move,Juhu,3 BHK,MaisePa,1560,3,3,28888.88889
Super built-up  Area,18-Apr,Kurla,2 BHK,,1350,2,1,17058.82353
Super built-up  Area,Ready To Move,Colaba,3 BHK,JRrnauv,1550,3,3,23659.30599
Super built-up  Area,18-Apr,Santacruz,2 BHK,,1140,2,2,17879.16153
Plot  Area,Ready To Move,Malad,5 Bedroom,,1200,5,2,24642.85714
Super built-up  Area,18-Dec,Santacruz,2 BHK,,850,2,2,34622.30216
Super built-up  Area,Ready To Move,Goregaon,2 BHK,Gotis A,1280,2,2,5408.805031
Built-up  Area,Ready To Move,Juhu,2 BHK,,1170,2,2,19166.66667
Super built-up  Area,Ready To Move,Kurla,2 BHK,Puodse ,1113,2,1,39062.5
